country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Burundi,16.4,16.3,16.3,16.1,16,15.9,15.7,15.2,14.7,14,13.4,12.4,11.9,11.4,10.9,10.7,10.2,9.88,9.6,9.32,9.16,9.15,9.12,9.11,9.07,9.01,8.96
Kenya,6.79,6.79,6.84,6.84,6.81,6.74,6.65,6.61,6.68,6.39,6.35,6.45,6.12,6.11,5.98,5.83,5.69,5.61,5.51,5.62,5.4,5.37,5.31,5.23,5.14,5.06,5.07
Singapore,0.75,0.64,0.58,0.52,0.49,0.47,0.44,0.4,0.38,0.38,0.37,0.37,0.36,0.37,0.39,0.39,0.38,0.36,0.33,0.31,0.3,0.28,0.26,0.24,0.23,0.23,0.23
United Kingdom,1.3,1.26,1.21,1.2,1.16,1.15,1.14,1.12,1.1,1.08,1.03,1,0.98,0.95,0.92,0.88,0.85,0.82,0.79,0.76,0.73,0.7,0.67,0.66,0.64,0.63,0.63
Dominican Republic,2.76,2.66,2.55,2.46,2.36,2.27,2.18,2.1,2.01,1.89,1.77,1.67,1.98,1.54,1.53,3.31,1.5,1.46,1.44,1.41,1.38,1.37,1.34,1.32,1.3,1.27,1.25
Gabon,8.08,7.81,7.67,7.5,7.5,7.57,7.45,7.23,7,6.81,6.78,6.73,6.46,6.39,6.3,6.23,6.11,5.93,5.89,5.68,5.35,5.2,5.01,4.85,4.76,4.67,4.57
Iceland,1.18,1.14,1.09,1.05,1.01,0.99,0.97,0.94,0.9,0.87,0.85,0.82,0.79,0.76,0.74,0.72,0.71,0.69,0.68,0.67,0.66,0.64,0.63,0.63,0.63,0.62,0.63
Poland,2,2.09,2.22,1.98,2,1.99,1.94,1.89,1.84,1.82,1.71,1.66,1.65,1.64,1.65,1.67,1.68,1.66,1.63,1.59,1.53,1.5,1.46,1.37,1.28,1.24,1.2
Solomon Islands,3.67,3.64,3.6,3.56,3.53,3.49,3.49,3.56,3.61,3.67,3.6,3.63,3.68,3.7,3.7,3.72,3.78,3.86,3.88,3.85,3.81,3.75,3.67,3.61,3.55,3.5,3.43
South Korea,2.83,2.74,2.67,2.57,2.47,2.37,2.27,2.18,2.1,2.21,1.94,1.87,1.77,2.67,1.52,1.42,1.34,1.27,1.21,1.17,1.13,1.1,1.08,1.05,1.03,1.02,1.01
Tanzania,10.5,10.3,10.3,10.2,10.3,9.93,9.74,9.58,9.46,9.25,8.95,8.64,8.42,8.39,8.34,8.22,8.09,8.04,7.94,7.82,7.67,7.58,7.55,7.51,7.36,7.27,7.17
Cape Verde,3.71,3.63,3.55,3.45,3.32,3.14,2.96,2.82,2.73,2.63,2.55,2.49,2.45,2.41,2.36,2.32,2.29,2.24,2.18,2.12,2.08,2.03,1.93,1.89,1.86,1.82,1.79
Guinea,7.07,7.12,7.2,7.27,7.41,7.46,7.49,7.48,7.5,7.49,7.32,7.21,7.11,6.94,6.85,6.67,6.61,6.55,6.44,6.37,6.34,6.26,6.16,6.11,6.02,5.95,5.88
Barbados,2.52,2.56,2.43,2.27,2.21,2.15,2.16,2.16,2.19,2.21,2.22,2.23,2.19,2.14,2.12,2.12,2.1,2.02,1.98,1.99,1.92,1.87,1.83,1.8,1.8,1.8,1.79
Lesotho,8.1,7.96,7.95,7.88,7.99,7.91,7.89,8.03,8.39,8.64,9.17,9.25,9.56,9.91,10.1,10.2,10.2,10.2,10.3,10.1,10.1,9.84,9.77,9.76,9.66,9.48,9.31
Tajikistan,6.66,6.79,7.17,7.53,7.45,7.32,7.15,6.97,6.78,6.55,6.35,6.18,5.96,5.74,5.49,5.24,5.38,4.87,4.69,4.54,4.4,4.28,4.16,4.05,3.99,3.95,3.89
Canada,2.21,2.14,2.09,2.05,2,1.95,1.9,1.85,1.77,1.72,1.62,1.55,1.5,1.44,1.38,1.34,1.29,1.25,1.21,1.14,1.09,1.04,1.01,1.01,1.01,1,0.99
Liberia,6.05,6.07,6.06,6.03,6.11,6.05,6.27,6.22,6.17,5.95,5.8,5.58,5.5,5.35,5.17,5.08,5.02,5,4.93,4.92,4.88,4.84,4.82,4.76,4.67,4.6,4.53
Philippines,2.18,2.13,2.11,2.02,1.97,2.52,2.39,1.54,1.46,1.42,1.69,2.09,1.89,2.19,1.84,1.79,2.03,1.85,1.84,1.82,1.8,1.75,1.71,1.66,1.61,1.57,1.53
