Country,Poplulation_density,Age_at_1st_marriage_women,Total_health_spending_per_person,Long_term_unemployment_rate_percent,babies_per_woman
Austria,101,28.9,5150,0.879,1.41
Belgium,354,30.3,4750,1.89,1.81
Bulgaria,69,24.2,474,1.77,1.45
Croatia,77,26.2,1220,2.8,1.43
Cyprus,117,25.2,1920,0.404,1.46
Czech Republic,134,26.6,1470,1.5,1.42
Denmark,129,30.9,6350,0.404,1.89
Estonia,31.5,27.6,1060,1.33,1.64
Finland,17.5,30.5,4250,0.98,1.85
France,118,31,4940,1.66,1.98
Germany,236,30.1,4720,2.54,1.37
Greece,85.9,26.9,3080,2.14,1.44
Hungary,112,27.9,1120,2.22,1.32
Ireland,65.2,30.7,5240,1.54,2
Italy,200,29.2,3470,1.65,1.41
Latvia,35,28.2,974,1.7,1.49
Lithuania,51,26.1,934,1.02,1.43
Luxembourg,201,27.8,8060,1.09,1.61
Malta,1280,0,1600,1.45,1.38
Netherlands,487,30.5,5240,0.716,1.77
Poland,124,25.3,973,1.7,1.36
Portugal,115,23.9,2380,2.49,1.36
Romania,89.3,25.3,517,1.53,1.45
Slovak Republic,112,26.4,1400,3.89,1.32
Slovenia,100,30.3,2260,1.29,1.44
Spain,92.1,29.3,3130,1.9,1.38
Sweden,22.5,32.4,4870,0.904,1.92
United Kingdom,255,29.8,3800,1.14,1.86
